mirna	trusted
Mir-7363	79.6
Mir-7368	81.5
Mir-7370	69.3
Mir-7371	45.3
Mir-7373	50.3
Mir-7376	89
Mir-7377	76
Mir-7378	76.6
Mir-7379	77.6
Mir-7383	74
Mir-7385	66.9
Mir-7392	67.5
Mir-7394	64.5
Mir-7397	79.6
Mir-7398	49.2
Mir-1955	85.1
Mir-1962	64.8
Mir-298	87
Mir-3068	85.4
Mir-3072	84.4
Mir-3075	80.3
Mir-3099	79.9
Mir-3112	85.8
Mir-351	92.7
Mir-434	71
Mir-540	85.8
Mir-666	88.5
Mir-667	92.9
Mir-673	78.2
Mir-674	82.7
Mir-700	87.3
Mir-879	76.3
Mir-12508	77
Mir-12469	72
Mir-12470	79.5
Mir-12471	80.7
Mir-12472	76.1
Mir-12473	84.5
Mir-12474	66
Mir-12475	70.7
Mir-12476	89.1
Mir-12534	80.2
Mir-12553	79.2
Mir-12554	83.1
Mir-12555	78.4
Mir-12556	78
Mir-12557	89.4
Mir-12558	92
Mir-12559	68.7
Mir-12560	81.7
Mir-12561	76.2
Mir-12562	86
Mir-12563	73.4
Mir-12564	77.6
Mir-12565	81.6
Mir-12566	63.4
Mir-12567	83.4
Mir-12568	82.4
Mir-12569	83.3
Mir-12570	83.3
Mir-12571	80.1
Mir-12572	86.4
Mir-12573	74.1
Mir-12574	87.9
Mir-12575	79.4
Mir-12576	85.8
Mir-12577	96.2
Mir-12578	82.8
Mir-12579	80.8
Mir-12580	76.8
Mir-12581	77.6
Mir-12582	91.3
Mir-12583	80.1
Mir-12584	86
Mir-12585	88.7
Mir-12586	79.1
Mir-12587	85
Mir-2002	77.1
Mir-2004	83.2
Mir-2005	88.2
Mir-2006	64.9
Mir-2007	73.5
Mir-2008	80.9
Mir-2009	83.5
Mir-2010	80.6
Mir-2011	77.7
Mir-2012	73.7
Mir-4818	54.9
Mir-4819	74.6
Mir-4820	66.4
Mir-4824	92.6
Mir-4825	88.6
Mir-4826	65.1
Mir-4828	61.3
Mir-4829	66.7
Mir-4830	63.4
Mir-4831	85.5
Mir-4835	81.5
Mir-4838	81.1
Mir-4839	86
Mir-12478	80.4
Mir-12479	76.4
Mir-12480	77.5
Mir-12481	88.6
Mir-12482	97.9
Mir-12483	76
Mir-12484	84.5
Mir-12485	79.2
Mir-12486	75.4
